Orionintie|24.76728,60.18267
Miestenmetsä|24.83141,60.17827
Miestenmetsä|24.83057,60.17816
Kolmiranta|24.51248,60.26029
Otaniemenristi|24.8376,60.18023
Otakallio|24.83372,60.18197
Otaniemenristi|24.83641,60.1798
Hanasaari|24.84158,60.16646
Dipoli|24.83212,60.18274
Sähkömies|24.82975,60.18909
Teknillinen korkeak.|24.82762,60.18701
Ratsutori|24.81279,60.21721
Leppävaara/VR|24.81324,60.21942
Maarinsilta|24.80903,60.18712
Laurinlahden koulu|24.64054,60.14773
Laurinlahden koulu|24.64181,60.1482
Alvar Aallon puisto|24.82916,60.18389
Alvar Aallon puisto|24.82739,60.18444
Kemisti|24.82779,60.18362
Alberganesplanadi|24.81025,60.21358
Harluntie|24.80927,60.20933
Linnoitustie|24.81223,60.21006
Ensontie|24.80458,60.21001
Harluntie|24.81025,60.20923
Leppävaara|24.816,60.21896
Alberganesplanadi|24.81134,60.21354
Säterinmetsä|24.81549,60.21244
Leppävaara|24.81691,60.21944
Linnoitustie|24.81172,60.2097
Linnoitustie 4|24.81176,60.21238
Pikkalankulma|24.79866,60.21193
Pikkalanristi|24.7984,60.21244
Masalantie|24.80058,60.21025
Rummunlyöjänkatu|24.80694,60.21724
Ruusutorppa|24.79984,60.21366
Huvilinnanpiha|24.80413,60.21733
Ruusutorppa|24.80038,60.21467
Sello|24.8088,60.21867
Sello|24.8088,60.21867
Säterinkatu|24.81012,60.21399
Huvilinna|24.80677,60.21626
Hirsalantie|24.79618,60.21005
Säterinrinne|24.80549,60.21408
Säterinrinne|24.80463,60.21419
Ruusutorpanpolku|24.80684,60.21459
Masalantie|24.8006,60.21009
Ensontie|24.80413,60.21004
Ruusutorppa|24.80096,60.21413
Sokerilinnantie|24.81197,60.21539
Säterinkatu|24.81122,60.21428
Sokerilinnantie|24.81222,60.21643
Kantokaski|24.67139,60.18073
Kantokaski|24.67064,60.18185
Kukkumäki|24.67499,60.17931
Kaskimaa|24.66795,60.17612
Lehtikaski|24.65898,60.17817
Lehtikaski|24.6593,60.17798
Kulolaakso|24.65678,60.17929
Ohrakaski|24.65802,60.17182
Ohrakaski|24.65856,60.17191
Latokaskenniitty|24.66156,60.17335
Latokaskenniitty|24.66296,60.17382
Piispansilta|24.73716,60.16297
Sepetlahdentie|24.74657,60.15387
Piispanaukio|24.73833,60.16246
Piispanaukio|24.73844,60.16265
Kala-Matti|24.7384,60.15766
Kala-Matti|24.73829,60.15764
Nuottaniemi|24.74123,60.14808
Nokkalanniemi|24.74849,60.14925
Nokkalanniemi|24.74822,60.14926
Haukilahdenkatu|24.77277,60.16331
Vilkka|24.65709,60.34895
Lakisto|24.65421,60.34483
Haukiverkko|24.77103,60.15822
Ukkohauentie|24.77504,60.1633
Hauenkallio|24.76766,60.16245
Hauenkallio|24.77108,60.16273
Haukilahden keskus|24.77681,60.16262
Haukilahden keskus|24.77648,60.16242
Kiiskitie|24.77432,60.16434
Haukilahdensolmu|24.77298,60.16756
Kiiskitie|24.77454,60.16436
Haukiverkko|24.76957,60.15794
Mustasilta|24.64737,60.32917
Talouskeskus|24.65554,60.35373
Terapiatalo|24.65236,60.35713
Ostoskeskus|24.65632,60.351
Vilkka|24.65696,60.34884
Lakisto|24.654,60.34397
Mustasilta|24.64748,60.32773
Friisilänraitti|24.71221,60.16991
Holmanmäki|24.71189,60.17086
Tähdenlennontie|24.72093,60.16353
Kuunkatu|24.72234,60.1729
Kuunkatu|24.72252,60.17308
Kelkorpi|24.71702,60.17662
Kelkorpi|24.71726,60.17671
Kuitinniitty|24.72694,60.16719
Matinsolmu|24.75641,60.1659
Avaruuskatu|24.72385,60.16958
Avaruuskatu|24.72454,60.16924
Puolarmetsä|24.70461,60.17427
Puolarmetsä|24.70261,60.17429
Piispantilankuja|24.72297,60.16215
Friisinniityntie|24.71893,60.16475
Friisilänkulma|24.72094,60.16288
Tähdenlennontie|24.72134,60.16351
Friisilä|24.7208,60.16259
Friisilä|24.72314,60.16315
Puolarmetsän sairaal|24.70371,60.17531
Pääskyläntie|24.65489,60.34658
Pääskyläntie|24.65505,60.34655
Vanha Lakistontie|24.65381,60.33845
Kuitinniitty|24.72741,60.16642
Vanha Lakistontie|24.654,60.3389
Koskelonsilta|24.73459,60.25885
Koskelonsilta|24.73473,60.25984
Kiilaniitty|24.73096,60.2639
Kiilaniitty|24.73192,60.26278
Salakkatie|24.78287,60.16245
Hanasaari|24.84252,60.16583
Toppelundinportti|24.78532,60.16236
Hauenkalliontie|24.77077,60.16103
Ohrakuja|24.73518,60.25359
Mellstenintie|24.78368,60.15913
Säynävätie|24.78054,60.16206
Kuhatie|24.77287,60.16542
Kuhatie|24.77253,60.16652
Pattisten pelto|24.77498,60.16146
Haukitie|24.77435,60.16035
Haukitie|24.77324,60.15923
Niittysilta|24.77023,60.16709
Säynävätie|24.78046,60.1618
Rajaportti|24.72546,60.25325
Rajaportti|24.72461,60.25327
Ruispelto|24.73325,60.25329
Ruispelto|24.73323,60.25333
Haapaniementie|24.72199,60.25237
Haapaniementie|24.7206,60.25185
Hauenkita|24.76818,60.15782
Hauenkita|24.76684,60.15822
Neppers|24.73674,60.25473
Neppers|24.73645,60.25466
Haukilahdenranta 25|24.76323,60.15908
Haukilahdenranta|24.76397,60.15869
Telamäentie|24.76152,60.16171
Telamäentie|24.76163,60.16029
Toppelund|24.78585,60.1594
Mellstenintie|24.78236,60.15969
Toppelund|24.78739,60.15939
Kauklahti/VR|24.59987,60.18922
Leppävaara/VR|24.81324,60.21954
Kivitie|24.71829,60.16674
Holmankorpi|24.70874,60.17485
Holmankorpi|24.70841,60.17488
Friisilänraitti|24.71249,60.16946
Friisinniityntie|24.71869,60.16571
Piispantilankuja|24.72254,60.16264
Tähtikalliontie|24.71709,60.16776
Talouskeskus|24.65549,60.35401
Ostoskeskus|24.65659,60.35094
Terapiatalo|24.65231,60.35751
Talouskeskus II|24.65378,60.35596
Kauklahti/VR|24.59987,60.18922
Saarijärvi|24.60709,60.33328
Saarijärvi|24.60624,60.3335
Takkula|24.63851,60.3272
Tuhkurintie|24.63683,60.32764
Lakistonristi|24.64792,60.32614
Lakistonristi|24.64625,60.32644
Kaitalampi|24.66288,60.32546
Kaitalampi|24.66102,60.32553
Koskelonkuja|24.72388,60.26365
Koskelonpiha|24.7193,60.25978
Torskulla|24.70654,60.26601
Bosmedsinkuja|24.69109,60.26458
Kivipylvääntie|24.70608,60.26097
Koskelontie 13|24.71676,60.25791
Koskelonpiha|24.71996,60.26041
Kivipylväs|24.70164,60.25879
Kivipylväs|24.7012,60.25929
Torskulla|24.70708,60.26623
Kivipylvääntie|24.7066,60.26129
Kilo/VR|24.78329,60.21795
Bosmedsinkuja|24.69109,60.26457
Brödtorp|24.71016,60.27125
Brödtorp|24.70998,60.27151
Rajanummi|24.70712,60.26645
Rajanummi|24.70833,60.26756
Piispansilta|24.73839,60.16413
Piispanristi|24.73676,60.16456
Piispanristi|24.73693,60.16461
Luhtakuja|24.68729,60.19748
Olarinluoma|24.75964,60.18048
Matinsolmu|24.74964,60.16625
Gräsanojansilta|24.75461,60.17119
Gräsanristi|24.75087,60.16999
Aamutie|24.74144,60.1677
Aamutie|24.74355,60.16874
Parolantie|24.75875,60.18104
Gräsanojansilta|24.75206,60.16932
Espoonportti|24.66145,60.2057
Sivulaakso|24.64426,60.3221
Kirstinsyrjä|24.67328,60.20462
Sivulaakso|24.64433,60.32217
Kirstinsyrjä|24.67367,60.20508
Velskola|24.63919,60.31338
Kirstinharju|24.67021,60.2028
Kirstinharju|24.66925,60.20246
Kilo/VR|24.78329,60.21795
Pisanmäki|24.68123,60.17161
Pisanmäki|24.68053,60.17155
Reviisorinkatu|24.66403,60.2061
Tuomarilan asema|24.68168,60.20577
Ratavalli|24.67446,60.20667
Ratavalli|24.67345,60.20622
Spångfall|24.68069,60.27472
Spångfall|24.68059,60.2748
Vihermäentie|24.68959,60.27116
Vihermäentie|24.68954,60.2711
Puotinen|24.69017,60.26783
Puotinen|24.68954,60.26868
Tuomarilan asema|24.68208,60.20559
Hösmärintie|24.66709,60.19636
Hösmärintie|24.66713,60.19627
Hösmärinmäki|24.67178,60.19624
Hösmärinmäki|24.67267,60.19576
Töyrymäki|24.67779,60.1943
Reviisorinkatu|24.66479,60.20651
Koskelontie 13|24.71617,60.25758
Koskelontie 13|24.71729,60.25832
Koskelonristi|24.71106,60.25359
Koskelonristi|24.71091,60.25376
Koskelonkuja|24.72306,60.26319
Röyläntie|24.69153,60.26227
Bodominkuja|24.69151,60.26231
Oravamäki|24.73569,60.20538
Oravamäki|24.73604,60.20545
Palje|24.72596,60.20251
Vasaramäki|24.72946,60.20374
Alasin|24.72343,60.20257
Ymmersta|24.71264,60.2017
Stensinsilta|24.73964,60.20431
Palje|24.72605,60.20251
Ymmersta|24.71068,60.20136
Ylismäki|24.74279,60.17565
Piispankalliontie|24.74919,60.16966
Ylismäenristi|24.74201,60.17783
Piispankalliontie|24.74823,60.16918
Gräsanristi|24.75535,60.17043
Itäportti|24.73786,60.17491
Ylisrinne|24.7422,60.17516
Alaportti|24.73369,60.17479
Itäportti|24.7386,60.17473
Ylismäenristi|24.74183,60.17763
Alaportti|24.73368,60.17468
Lystimäenristi|24.74548,60.17256
Lystimäenristi|24.74576,60.17259
Ylisrinne|24.74337,60.17495
Luomannotko|24.75916,60.17963
Luomanvarsi|24.75881,60.17555
Luomanvarsi|24.75872,60.17621
Nikulanmäki|24.57916,60.25699
Kuusikoti|24.59264,60.24476
Kuusikoti|24.59318,60.24354
Kaitakorpi|24.5992,60.26318
Nikulanmäki|24.57886,60.25708
Kaitakorpi|24.59932,60.26348
Soukansalmi|24.66982,60.1267
Hasselbacken|24.59528,60.25344
Hasselbacken|24.59539,60.25472
Ulkoilumaja|24.593,60.24893
Hakjärventie|24.59311,60.24972
Heikkilä|24.58477,60.25592
Stormbacka|24.5884,60.25288
Heikkilä|24.58457,60.25611
Brobackanpiha|24.59049,60.24895
Stormbacka|24.58849,60.2529
Nupurin päiväkoti|24.59706,60.23911
Nupurin päiväkoti|24.5967,60.23869
Brobackanpiha|24.59048,60.24947
Kulkurinmäki|24.62518,60.20473
Vanha Muuralantie|24.63137,60.21626
Mustanotko|24.62708,60.20398
Kulkurinmäki|24.62526,60.20458
Veijarinkallio|24.62896,60.20336
Mustanotko|24.62729,60.20401
Rintamäentanhua|24.6254,60.21599
Rintamäentanhua|24.62731,60.21535
Lanttikatu|24.63026,60.20782
Lanttikatu|24.62887,60.20747
Söderskog|24.6668,60.18836
Söderskog|24.66694,60.18792
Suinonsalmi|24.69474,60.12894
Flinkenberg|24.63201,60.2084
Suinonsalmi|24.69503,60.12835
Flinkenberg|24.63342,60.20858
Nimismiehenpelto|24.65221,60.21448
Muurahaisentie|24.6296,60.21355
Muurahaisentie|24.62969,60.2142
Mikkelänkallio|24.63715,60.20841
Gumbölenristi|24.62008,60.22471
Pitäjänportti|24.63928,60.20734
Mikkelänkallio|24.63587,60.20933
Rintamäentanhua|24.62644,60.21587
Jääskentie|24.79998,60.20434
Raivaaja-aukio|24.80615,60.20435
Jääskentie|24.80009,60.20449
Kirvunristi|24.80314,60.20105
Ilmeentie|24.79848,60.20155
Koivistontie|24.79789,60.20366
Koivistontie|24.79771,60.20349
Makslahdentie|24.80309,60.1992
Makslahdentie|24.80349,60.19969
Hanikka|24.68105,60.13248
Arkiniitty|24.57839,60.24355
Kulmakorpi|24.56828,60.24446
Nupurinristi|24.5973,60.23713
Leppäsolmu|24.81254,60.20835
Arkiniitty|24.57975,60.24339
Laajalahden koulu|24.81092,60.2046
Veikkaustie|24.60218,60.23408
Nupurinristi|24.59669,60.23769
Raivaaja-aukio|24.80464,60.20431
Rintinmäki|24.60938,60.23044
Laajalahden koulu|24.80945,60.20476
Veikkaustie|24.60146,60.23468
Rintinmäki|24.60998,60.23029
Verkkosaarenkuja|24.67228,60.12443
Salmenristi|24.68148,60.1302
Hanikka|24.68143,60.13338
Salmenristi|24.68134,60.13011
Munkkiranta  kp|24.68026,60.12895
Kasavuorentie|24.66742,60.12875
Kasavuorentie|24.6673,60.12895
Samaria|24.65198,60.20332
Kalliorinne|24.66358,60.1952
Mikkelänahde|24.63106,60.20235
Mikkeläntörmä|24.63325,60.20277
Pitäjänportti|24.64021,60.20649
Kallionrinne|24.66347,60.19542
Mikkelänrinne|24.63912,60.20645
Mickels|24.64132,60.20776
Vehkaniitty|24.77533,60.20291
Samaria|24.65257,60.2023
Munkkiranta|24.67957,60.12729
Munkkiranta|24.67968,60.12733
Pelto|24.62609,60.19974
Riilahden risti|24.68197,60.13527
Pelto|24.62665,60.20018
Riilahden risti|24.68153,60.13428
Mikkelänrinne|24.63749,60.20425
Soukansalmi|24.66981,60.12684
Kulmakorpi|24.57063,60.24449
Ampujankuja|24.67649,60.12456
Laajalahdenristi|24.81546,60.2061
Ilmeentie|24.7965,60.20169
Mickels|24.64111,60.20759
Kirvunristi|24.80299,60.201
Muuralankuja|24.64336,60.21239
Mikkeläntörmä|24.63538,60.20362
Laajaranta|24.80692,60.19656
Nimismiehenmäki|24.64804,60.21482
Turvesuontie|24.80785,60.19943
Muuralansilta|24.64183,60.20926
Ilmeentie|24.79666,60.2016
Muuralankuja|24.64243,60.21173
Turvesuontie|24.77952,60.20168
Nimismiehenmäki|24.64968,60.21468
Verkkosaarenkuja|24.67214,60.12457
Turvesuontie|24.80968,60.2002
Ampujankuja|24.67677,60.12456
Muuralansilta|24.64173,60.20934
Mäkkylä/VR|24.84269,60.22117
Mäkkylä/VR|24.84269,60.22117
Luukintie|24.6864,60.29528
Luukintie|24.6855,60.29497
Krenatöörintie|24.82538,60.23918
Muskettitie|24.8289,60.24044
Muskettitie|24.82997,60.24038
Uusmäki|24.83197,60.24092
Kanttiinitie|24.83604,60.23738
Lotankatu|24.83173,60.23513
Kanttiinitie|24.8355,60.23735
Lotankatu|24.83189,60.23497
Uusmäki|24.83331,60.24098
Krenatöörintie|24.82603,60.2394
Suopuronrinne|24.73694,60.28618
Kalliomäentie|24.73075,60.28594
Suopuronrinne|24.73772,60.28637
Perusmäki|24.72658,60.28684
Pakankylän koulu|24.67581,60.28358
Punametsä|24.70576,60.28582
Punametsänristi|24.70586,60.28525
Röylänristi|24.6991,60.29623
Röylänristi|24.69787,60.29655
Niipperinniitty|24.74248,60.29371
Niipperinniitty|24.74164,60.29397
Santaharju|24.73786,60.29568
Luukintie 26|24.68139,60.304
Luukintie 26|24.68141,60.30335
Niittymäki|24.67744,60.28965
Niittymäki|24.67804,60.28908
Kaisankoti|24.66714,60.27479
Velskolantie|24.6563,60.27415
Kaisankoti|24.66649,60.27483
Pakankylän koulu|24.67614,60.2839
Vihdintie|24.83251,60.24992
Vihdintie|24.83249,60.24983
Alokastie|24.83098,60.24572
Alokastie|24.8311,60.24519
Uusmäki|24.83275,60.2414
Hilapellontie|24.83491,60.23943
Hilapellontie|24.83497,60.23964
Gobbacka|24.71419,60.2775
Gobbacka|24.71334,60.27783
Rödskogs skola|24.69175,60.29732
Rödskog skola|24.69173,60.29733
Uusmäki kääntöpaikka|24.83155,60.24542
Punametsä|24.70723,60.28568
Santaharju|24.73867,60.29513
Kalliomäentie|24.73092,60.28573
