Cazze optikko|25.1014499,60.4029526
Keravan jäähalli|25.092805392307696,60.40964394615385
Lapilankuja|
Lepistönkuja|
Välikuja|
Niittykuja|
Auratie|
Jokitie|
Aatratie|
Puuvalonaukio|
Keskustan päiväkoti|25.102965493333333,60.408433920000014
Hiilloskuja|
Neste|25.1104916,60.394417
Kulmalantie|
Seunalantie|
Jänönkuja|
Kuovinkatu|
Keravan paloasema|25.109748654545456,60.3888617
Oksapolku|
Jormolanpolku|
Habita|25.1011889,60.4029842
Saletti parturi-kampaamo|25.1100768,60.397733
Kajavankatu|
Kannistonkaarre|
Päivölänrinne|
Kuparisepänkatu|
Tuusulantie|
Panunkatu|
Jussilanpiha|
Tyykipuoti|25.1022938,60.4028983
Tuomaanpuiston leikkipaikka|25.090172360000004,60.40361969999999
Suitsitie|
Päivölänkaaren päiväkoti|25.13707906666667,60.41034144000002
Lääkärikeskus Aava Keravan Terveyspuisto|25.0901257,60.4083826
Juurakkokatu|
Trappukorventie|
Keskikatu|
Rautia Kerava|25.1140883,60.388854
Vihtatie|
Mahlapolku|
Keskuspuiston leikkipaikka|25.103368433333333,60.406682644444444
Pörkiöntie|
Kalevan koulu|25.08813134,60.42001788
Nikkarin Pysäköinti|25.09820135714286,60.4057897
Pahkakuja|
Alasintie|
Kurkelankatu|
Mäkituvankuja|
Rauninkuja|
Puutarhamyymälä|25.13130348823529,60.423485311764715
Palomäen leikkipaikka|25.105700566666666,60.39688908333333
Kipinäkuja|
Ahdintie|
Tellervonkatu|
Kovasinpolku|
Kaskelantie|
Savio|25.0978267,60.3806693
Heisitie|
Itä- ja Keski-Uudenmaan hätäkeskus, Helsingin hätäkeskus|25.109705971428575,60.406928057142856
Ahjontie|
Käpytie|
Urputie|
Viikalankuja|
Klondyke-talo|25.1022898,60.3817045
Napoli|25.1089364,60.3988579
Teollisuushallit|25.134295864705877,60.42658240588236
Magella|25.0994835,60.403875
Neste Oil Express|25.1129986,60.3992479
Loimukuja|
Visatie|
Iso-Hollonkuja|
Tukkipolku|
Angervonkuja|
Subway|25.0991122,60.4038035
Savion seurakuntatalo|25.0924765,60.38115260000001
Puolukkakuja|
Vanamonkuja|
Matkahuoltoasiamies|25.1046489,60.4050148
Päivöläntie|
Nahkurinkatu|
Vesuripolku|
Silaspolku|
Aurorankuja|
Puusepänkatu|
Kerhotalo|25.091826077777778,60.40778408888889
Metsäladontie|
Annankuja|
Tursontie|
Alko|25.1034988,60.4014921
H&M|25.132235553846158,60.40446283846154
Lidl Kerava|25.1112906,60.3998214
Seurakuntakeskus|25.11312594736842,60.40115728947369
Panimokuja|
Sirkunpolku|
Metsolantie|
Keravan museo|25.1086223,60.4007824
Laukkatie|
Hirvenkuja|
Mönkäreenmäki|
Lepolantie|
Kanniston päiväkoti|25.096698300000003,60.39125875999999
Power Center|25.1108251,60.39803
Keravan vankila|25.1339994875,60.424300518750016
Pihkaniitty|25.1040065,60.4224318
Kolistimenkuja|
Hannes Myöhäsenkuja|
Joukahaisenpuiston leikkipaikka|25.086248314285715,60.4195638
Moukaritie|
Jaakkolan päiväkoti|25.11468784,60.396260139999995
Myyränkuja|
Saviontie|
Suomen ilmastointitukku Oy|25.12300758,60.426220220000005
Apilakuja|
Kurkelanniityn leikkipaikka|25.10690392,60.415445840000004
Jurvalanpolku|
Kalevan päiväkoti|25.094383266666668,60.41670154444445
Naavakatu|
Musiikkikeskus MultiKulti|25.10960837142857,60.4023239
Kultasepänkatu|
Kerava Areena|25.107638785714286,60.413988519047635
Keravan Cityseurakunta|25.104632,60.404964
Pyöräliike Lundberg|25.1094459,60.3974635
HopLop Kerava|25.1138308,60.3890151
Finsoffat Oy|25.12539322,60.426074740000004
Liikuntapäiväkoti Pomppu|25.091814488888886,60.408618377777785
Kuikankatu|
Kauppakaaren leikkipaikka|25.0977266,60.4038022
Hirsipolku|
Pihkaniityntie|
Eläinlääkäriasema Kauris|25.1141398,60.3895961
Virrenkulman päiväkoti|25.10432608,60.42457094
Keravanjoen koulu, Jaakkola|25.119164136363633,60.39945825454545
Jalaspolku|
Suomalainen kirjakauppa|25.0998717,60.4033659
Kyläpolku|
Ahjonraitti|
Kirveskuja|
Viertolan päiväkeskus|25.09927111964285,60.40032187857145
Heikkilän kotiseutumuseo|25.1126997,60.4064293
Ollilantie|
Kytökuja|
Café Ri-Ga|25.1039684,60.4050194
Louhentie|
Sopulinkuja|
Imppalanmäki|
Keravan Pizza ja Kebab Palvelu|25.0959793,60.4130791
Sorsakorven päiväkoti|25.144116942857142,60.39319222857143
Tahkotie|
Kurkelan koulu|25.10632618,60.414197820000005
Teboil Express|25.1113312,60.3984281
Hyvä Olo|25.1000625,60.4039293
Ratapellonkuja|
Karpalokuja|
Nybackantie|
Intro Music|25.1012815,60.4039601
Pihlajakatu|
Urpiaisentie|
Keinukallio|25.1337489,60.3838555
Uudenmaan Herkku|25.1179273,60.407351266666666
Uimalankuja|
Liesitie|
Norkkotie|
Viertolantie|
Metalliverstas|25.13379195454546,60.42573389090909
K-market Ahjontori|25.146915554545455,60.40193574545454
K-Supermarket Oregano|25.0916183,60.3806325
Virontie|
Rosso|25.1029318,60.4016906
Leivonpolku|
Rajakulmantie|
Silmutie|
Paasikivenkatu|
Tukkilankuja|
Tehtaankuja|
Mansikkakuja|
Nikkarinkuja|
Sampolankatu|
Hongyun|25.10033,60.4032892
Apostolinen seurakunta|25.1066028,60.4011623
Kalervonkuja|
Jäspilänpolku|
Autotalo Laakkonen|25.1017435,60.3972839
Sepontie|
Virnakuja|
Harjupolku|
Äijöntie|
Fit24|25.1024654,60.4028137
Kivenhakkaajantie|
Punainen tähti|25.1023178,60.4025601
Koivikonkuja|
Myllynummentie|
Kelotie|
Sankarihautausmaa|25.11158016,60.402463739999995
Majavankierros|
Pajukatu|
Mittarinkuja|
Joukahaisenkuja|
Kuparikuja|
Karhitie|
Vesakkokuja|
Lehmuskatu|
Seljantie|
Lintukuja|
Koivunoksa|
Savelantie|
Prisma Kerava|25.1036669,60.4018051
Keravan tanssiopisto|25.0936941,60.4020923
Ahjonkulma|
Aurapolku|
Alikeravantie|
Ketunkuja|
Pelikauppa|25.1037307,60.4023481
Nikkarin koulu ja lukio|25.0988607,60.4054128
Europress Oy|25.12734799230769,60.430707299999995
Keinukalliontie|
Keravan terveyskeskus|25.0874811,60.4094808
Kerava|25.1061367,60.4043745
Horsmatie|
Kalliotie|
Ratatie|
Hiidenkiventie|
Keravan lounas|25.1087123,60.3915752
Sonera Kauppa Kerava|25.1022348,60.402583
Ritarinkuja|
Killan Kievari|25.0846994,60.4088741
RTV|25.1107488,60.3974149
Metsätorpankuja|
Huhtimontie|
Hiirenkuja|
Eskontie|
Hillerinkuja|
Leppäkorventie|
Levonmäentie|
Näkkikuja|
Sysitie|
Viidakkotie|
Tammistontie|
Heikkilän päiväkoti|25.110145975000002,60.40586196875
Pro Patria 1918|25.1116497,60.4024307
Posliinitehtaankatu|
Paloasemantie|
Vetehisentie|
Vihtapolku|
Purilaspolku|
Jaakkolankuja|
Karrintie|
Keravan Auto|25.1109342,60.3982391
Juolukkakuja|
Talmantie|
Tapulikierto|
Käenpolku|
Palokuja|
Kurjenpuiston päiväkoti|25.1044861,60.412510780000005
Saniaispolku|
Muurarintie|
Neste Oil K-market Kerava|25.1104369,60.394387
Caliente|25.1042965,60.4044291
Parkour-puisto|25.0959057,60.4002026
Dae-Tek Oy|25.12652213333333,60.427861044444434
Toukolantie|
Lapilan kartano|25.11446547777778,60.40375657777778
Uunitie|
Myrtinojantie|
Kurkelan koirapuisto|25.103771324999997,60.4144956
Talvikinkatu|
Jussilantie|
Kaskitie|
Laaksotie|
Nelikuja|
Väripirtti|25.1098792,60.3970347
Käpypolku|
Otsolanpuiston leikkipaikka|25.095352416666667,60.4196704
Riimutie|
Asemanaukio|
Topiaantie|
Venlantie|
Kääpäkatu|
Rauhalantie|
Hongheng|25.1040415,60.4062953
Lahdentie|
Caravan|25.1004432,60.4030372
Keravantie|
Metsätuvankuja|
Hotelli Cosmopoli|25.1024223,60.4022333
Linkokuja|
Yhteystie|
Jäspilänpiha|
Tuulikinkatu|
Alikeravan koulu|25.115211042857144,60.39858351428571
Vellamontie|
Kulmakonditoria|25.1025259,60.4024548
Filmtown|25.1012984,60.403874
Jokelantie|
Länsikaari|
Airam|25.102578299999998,60.38671038
Tapimer Oy|25.12532664,60.42531414
S-market|25.097753387500003,60.4040528
Katajatie|
Nahkimokuja|
Tiilitehtaankatu|
Keravan Horse & Rider|25.1094897,60.3994156
PääAsema|25.1056221,60.4044493
Kaupinkuja|
Sammaltie|
DataSky|25.104455,60.4046063
Sieponpolku|
Hakkuutie|
Kultajousi|25.1023444,60.4021524
Työvoimatoimisto|25.1027066,60.4027506
Hong Kong Kerava|25.1115394,60.3875711
Jehovantodistajien valtakunnansali|25.097781711111114,60.391827811111106
Pentik Kerava|25.1026785,60.4023364
Heikkiläntie|
Metos Oy Ab|25.132177612903224,60.40112683548388
Vilholantie|
Opéra|25.099931,60.3978783
Pihkaniitynkatu|
Haapatie|
Silokalliontie|
Keravan ensimmäinen apteekki|25.1003201,60.4035556
Uudenmaan Herkku Oy|25.0998132,60.4036934
Keskustan hammashoitola|25.0997086,60.4021932
Turskatie|
Kenkäkauppa Mekka|25.112715,60.3892738
Salavapuisto|25.09408428,60.381542409999994
Luotolantie|
Keravan kuvataidekoulu|25.10289520769231,60.40433503846153
McDonald's|25.1015745,60.4015033
Nuorisotalo Häkki|25.089498595454543,60.42058093181818
Kirvesmiehentie|
Kotoisa|25.1002858,60.4038445
Kyläkirppis|25.0985461,60.4035512
Jalavakuja|
Tiaisenpolku|
Kinnarps Oy|25.12967956,60.40494894
Näsiätie|
Riimupuiston leikkipaikka|25.148625459999998,60.39238626
Kervo svenska daghem|25.0857073,60.3799932
Tervahaudankatu|
Isonkiventie|
Virpitie|
Tuko logistics|25.11342451875,60.41255823125
Pizza Express|25.0951739,60.4215133
Tölttipolku|
Postlarinkatu|
SpecSavers|25.1025742,60.4022834
Kävelykadun hammashoitola|25.0986702,60.4037605
Kullervonpolku|
Keravanjoen koulu, Lapila|25.119826063636364,60.403972690909086
Timontie|
Olavintie|
Laurintie|
Käenkatu|
Sarvimäentie|
Chipsters|25.10500220740741,60.387945955555566
Käkimäentie|
Savion sivuapteekki|25.0920648,60.3804759
Katajakallionkuja|
Hakalanraitti|
Varjon kukka|25.0994483,60.4031702
Parturi-kampaamo Vision|25.1000192,60.4038905
Tapulipuisto|25.10834286,60.40489881999999
Keskuspuisto|25.1029103,60.4064981
Paulakuja|
Keravan Autohuolto|25.1087491,60.3986789
Palopesä|
Ravintola Portti|25.1137707,60.3891552
Haltiakuja|
Kiitäjänkuja|
Nissilänpiha|
Star Pizza|25.1040174,60.4049409
Oliverin kirppis|25.1086813,60.3969779
Sarapolku|
Haapakuja|
Keravan keskusapteekki|25.1019905,60.4027316
Kiskokuja|
Vilkastuksentie|
Virrenkulma|
Metsurinkuja|
Harkkotie|
Aleksintorin auto|25.1086339,60.3975178
Karhipolku|
Timanttiset - Keravan kello|25.1021652,60.4029751
Keravan Torin Pizza-Kebab|25.0979858,60.4022387
Savion koulu|25.0956249,60.3830586
Sikakorvenpolku|
HOK-Elannon hautaustoimisto|25.1004834,60.4030703
Kiddy house|25.09938741428571,60.41335539999999
JataPet|25.1097496,60.3968199
Aurinkomäen leikkipaikka|25.10238818,60.40347637000001
Kalevan kukkatalo|25.094255911111112,60.41391391111111
Varsatie|
City-voimailusali|25.1004339,60.4038775
Pumpputehtaankatu|
Päihdepysäkki|25.1089295,60.4027907
Keravanjoen koulu, Lapilantie|25.113385283333333,60.4040666
Metsämökinkuja|
Club Cosmopoli|25.1023769,60.4022227
Maalarintie|
Hepopolku|
Kyllikintie|
Koivulantie|
Keisarinkuja|
Lehmuspolku|
R-kioski|25.1046538,60.4048729
Mäkitie|
Kalevan seurakuntatalo|25.091879175,60.4167771375
Keijukuja|
Rintalantie|
Jäspilänkatu|
Päitsitie|
Ritakatu|
Kassarakuja|
Varvikkotie|
Koulukuja|
Sorsakorventie|
Kotimäen palvelukeskus|25.11097204,60.4050467
Peikkokuja|
Anttila Logistiikkakeskus|25.11254747142857,60.374042957142855
Mäkitorpankuja|
Suomelantie|
Ahjonkaarre|
Ahjon koulu|25.140278483333333,60.40000104074075
Ruukinpuiston leikkipaikka|25.106116039999996,60.398414100000004
Sampolankuja|
Palokorvenkatu|
Jaakkolantie|
Killan lähiliikuntapaikka|25.08207418,60.40455786
Untolan toimintakeskus|25.09536998,60.40681565999999
Karhunkatu|
Veräjäkuja|
Kukka Riina|25.0902307,60.40807
Haavikkotie|
Ansakuja|
Salon Ri-Ni Oy|25.104172,60.4049806
Veräjäpolku|
Intersport Kerava|25.097624,60.4036679
Paasikiven nuorisokylä|25.13715797,60.40589336000001
Jussilankuja|
Pihkakatu|
Savion päiväkoti|25.089280459999998,60.38232794
Myrtinojankuja|
Vetehisenpolku|
Kivisillantie|
Kultasiivenkuja|
Keravan ratsastuskeskus|25.144861105882352,60.38767167647058
Ahjon elintarvike ja grillikioski|25.14607882,60.40095074
Piilo-ommel|25.0988499,60.4037373
Asemansilta|
Hiussalonki|25.1074499,60.4008136
Laineentie|
Savenvalajankatu|
Kaarnapolku|
Jokelanpolku|
Savelankuja|
Tapaamispaikka|25.133167731818183,60.424758077272735
Ravintola Revanssi|25.1045247,60.404474
Juhonkuja|
Jousikatu|
Lehmuskuja|
Ojalantie|
Pajapellonkuja|
Riihitie|
Kuoppakuja|
Inkiläntie|
Riimupolku|
Hammaslääkäriasema Omppu Oy|25.0982988,60.4030178
Aleksis Kiven Tie|
Amiraalinkuja|
Tammikuja|
Aleksis Kiven tie|
RockMe|25.1026089,60.4024231
Seponkuja|
Sahankatu|
Simeonintie|
Style & Beauty Julia|25.0998802,60.4037795
Nurmikatu|
Kanniston lämpökeskus|25.09355278,60.391425520000006
Seljankuja|
Keravan taidemuseo|25.1086555,60.4009082
Honkakuja|
Taikatie|
Sinisiivenkuja|
Peltotie|
Niinikankaantie|
Volmari|25.10396358571429,60.40505082857142
Korpinkatu|
Pihkaniitynpuiston leikkipaikka|25.1009692,60.4209702
Muhevainen|25.0817851,60.4094812
Joukahaisentie|
Koivikontie|
Konstankulma|
Vaahteratie|
Ruukinkuja|
Keravan muovi ja lelu|25.1095525,60.3990429
Rolls Burger|25.0992544,60.3911408
Santaniitynkatu|
Violet|25.1102513,60.3992874
Pääskytie|
Piikiventie|
Hiisikuja|
Kytömaantie|
Oppipojankuja|
Männiköntie|
Annikinkatu|
Palopellonkatu|
Eerontie|
Perkaustie|
Majavanpolku|
Siilinkuja|
Päivikinkatu|
Taidepäiväkoti Konsti|25.085961183333335,60.4079844
Kettulankuja|
Kotkankatu|
Palosenkatu|
Ilmattarentie|
Tukkilantie|
Töyrykuja|
Petele|25.10715,60.4009352
Automaalaamo Custom Paint|25.124901642857147,60.36054235714287
Club Feeniks|25.1136763,60.3893162
Nahkurinpolku|
